Step,v_fracdone,Temp,Press,Density,PotEng,KinEng,TotEng
0,0.0,1.0,0.035830292,0.033333333,-1.603595,1.4985,-0.10509496
20,0.001,0.66774998,-0.0044706056,0.033333333,-1.3242984,1.0006233,-0.32367506
40,0.002,0.48663682,0.016954339,0.033333333,-1.3077728,0.72922528,-0.57854749
60,0.003,0.62584455,0.01362359,0.033333333,-1.3165842,0.93782806,-0.37875618
80,0.004,0.87910065,0.024481513,0.033333333,-1.3420587,1.3173323,-0.024726392
100,0.005,0.83254917,0.025643646,0.033333333,-1.3473642,1.2475749,-0.099789275
120,0.006,0.6229964,0.012840464,0.033333333,-1.3613758,0.93356011,-0.42781573
140,0.007,0.66355129,0.019929812,0.033333333,-1.3574762,0.99433161,-0.3631446
160,0.008,0.93878075,0.026280113,0.033333333,-1.3529916,1.406763,0.053771357
180,0.009,0.99673481,0.027853365,0.033333333,-1.3459555,1.4936071,0.14765163
200,0.01,0.76336258,0.022663932,0.033333333,-1.3345291,1.1438988,-0.19063024
220,0.011,0.68800374,0.016626139,0.033333333,-1.3250269,1.0309736,-0.29405333
240,0.012,0.96499191,0.026172907,0.033333333,-1.3486171,1.4460404,0.097423263
260,0.013,1.1243754,0.03249737,0.033333333,-1.3204644,1.6848765,0.36441218
280,0.014,0.92953538,0.026778013,0.033333333,-1.3002857,1.3929088,0.092623029
300,0.015,0.74994026,0.0093544457,0.033333333,-1.2952684,1.1237855,-0.17148295
320,0.016,0.93045512,0.023986554,0.033333333,-1.2924985,1.394287,0.10178854
340,0.017,1.1883354,0.029228717,0.033333333,-1.2859421,1.7807206,0.49477844
360,0.018,1.0745712,0.028781705,0.033333333,-1.2412099,1.610245,0.36903515
380,0.019,0.832739,0.024913779,0.033333333,-1.2487779,1.2478594,-0.00091852693
400,0.02,0.86957332,0.026680448,0.033333333,-1.2186981,1.3030556,0.084357479
420,0.021,1.1514461,0.030305403,0.033333333,-1.2119453,1.7254419,0.51349666
440,0.022,1.1990225,0.031890153,0.033333333,-1.224753,1.7967353,0.57198228
460,0.023,0.91718811,0.028361504,0.033333333,-1.1778037,1.3744064,0.19660272
480,0.024,0.83252067,0.017230786,0.033333333,-1.1712318,1.2475322,0.076300394
500,0.025,1.0779637,0.027669052,0.033333333,-1.1783526,1.6153286,0.43697598
520,0.026,1.2271457,0.034291833,0.033333333,-1.1769417,1.8388779,0.66193614
540,0.027,1.0443406,0.035032977,0.033333333,-1.185045,1.5649444,0.37989939
560,0.028,0.84755395,0.018513235,0.033333333,-1.1663543,1.2700596,0.10370527
580,0.029,0.97634773,0.029229311,0.033333333,-1.1538213,1.4630571,0.30923578
600,0.03,1.1780422,0.027791543,0.033333333,-1.1471025,1.7652963,0.61819378
620,0.031,1.099488,0.034750236,0.033333333,-1.1578429,1.6475828,0.4897399
640,0.032,0.88686805,0.026696813,0.033333333,-1.1785987,1.3289718,0.15037311
660,0.033,0.87014473,0.02335795,0.033333333,-1.1290467,1.3039119,0.17486513
680,0.034,1.0626639,0.026819649,0.033333333,-1.1080553,1.5924018,0.48434652
700,0.035,1.1094496,0.034376362,0.033333333,-1.1386491,1.6625103,0.52386115
